id,shoe_id,device_id,temperature,humidity,gas_level,duration_usage,fan_usage_duration,uv_usage_duration,created_at
1,1,1,28.3,73.5,159.78,0.49,0.29,0.1,2026-06-05 12:34:14.921349
2,1,1,28.3,73.4,166.15,0.49,0.29,0.1,2026-06-05 12:34:20.194121
3,1,1,28.3,73.4,165.27,0.49,0.29,0.1,2026-06-05 12:34:25.472819
4,1,1,28.2,73.4,160,0.5,0.29,0.1,2026-06-05 12:34:29.1812
5,1,1,28.3,73.5,163.52,0.5,0.29,0.1,2026-06-05 12:34:34.44627
6,1,1,28.2,73.5,159.34,0.5,0.29,0.1,2026-06-05 12:34:39.718437
7,1,1,28.2,73.5,162.2,0.5,0.29,0.1,2026-06-05 12:34:44.997075
8,1,1,28.2,73.4,159.78,0.5,0.29,0.1,2026-06-05 12:34:50.262089
9,1,1,28.1,73.5,163.3,0.5,0.29,0.1,2026-06-05 12:34:55.533711
10,1,1,28.1,73.6,160.22,0.5,0.29,0.1,2026-06-05 12:34:59.269873
11,1,1,28.1,73.7,163.96,0.51,0.29,0.1,2026-06-05 12:35:04.547287
12,1,1,28.1,73.7,167.03,0.51,0.29,0.1,2026-06-05 12:35:09.805323
13,1,1,28.1,73.8,163.52,0.51,0.29,0.1,2026-06-05 12:35:15.084092
14,1,1,28,73.8,160.22,0.51,0.29,0.1,2026-06-05 12:35:20.363136
15,1,1,28,73.9,162.64,0.51,0.29,0.1,2026-06-05 12:35:24.078147
16,1,1,28,74,169.45,0.51,0.29,0.1,2026-06-05 12:35:29.357166
17,1,1,28,74.1,167.47,0.51,0.29,0.1,2026-06-05 12:35:34.639741
18,1,1,28,74.2,168.57,0.52,0.29,0.1,2026-06-05 12:35:39.896957
19,1,1,28,74.3,164.62,0.52,0.29,0.1,2026-06-05 12:35:45.15669
20,1,1,27.9,74.3,163.08,0.52,0.29,0.1,2026-06-05 12:35:50.436105
21,1,1,27.9,74.5,160.44,0.52,0.29,0.1,2026-06-05 12:35:54.161287
22,1,1,27.9,74.5,159.78,0.52,0.29,0.1,2026-06-05 12:35:59.428586
23,1,1,27.8,74.6,156.26,0.52,0.29,0.1,2026-06-05 12:36:04.709874
24,1,1,27.8,74.7,154.95,0.53,0.29,0.1,2026-06-05 12:36:09.994586
25,1,1,27.8,74.7,161.76,0.53,0.29,0.1,2026-06-05 12:36:15.244275
26,1,1,27.8,74.7,163.52,0.53,0.29,0.1,2026-06-05 12:36:20.522334
27,1,1,27.8,74.7,158.46,0.53,0.29,0.1,2026-06-05 12:36:24.23123
28,1,1,27.8,74.7,167.47,0.53,0.29,0.1,2026-06-05 12:36:29.507827
29,1,1,27.8,74.7,159.12,0.53,0.29,0.1,2026-06-05 12:36:34.779499
30,1,1,27.8,74.8,166.81,0.53,0.29,0.1,2026-06-05 12:36:40.056078
31,1,1,27.7,74.8,160,0.54,0.29,0.1,2026-06-05 12:36:45.340486
32,1,1,27.7,74.9,163.52,0.54,0.29,0.1,2026-06-05 12:36:49.903819
33,1,1,27.7,75,161.1,0.54,0.29,0.1,2026-06-05 12:36:54.335188
34,1,1,27.7,74.9,156.48,0.54,0.29,0.1,2026-06-05 12:36:59.600779
35,1,1,27.7,75,159.78,0.54,0.29,0.1,2026-06-05 12:37:04.877807
36,1,1,27.7,75.1,156.04,0.54,0.29,0.1,2026-06-05 12:37:10.148501
37,1,1,27.7,75.1,161.76,0.54,0.29,0.1,2026-06-05 12:37:15.423171
38,1,1,27.7,75.1,160,0.55,0.29,0.1,2026-06-05 12:37:19.157089
39,1,1,27.7,75.2,157.8,0.55,0.29,0.1,2026-06-05 12:37:24.419305
40,1,1,27.6,75.2,156.7,0.55,0.29,0.1,2026-06-05 12:37:29.685965
41,1,1,27.6,75.2,156.26,0.55,0.29,0.1,2026-06-05 12:37:34.961907
42,1,1,27.6,75.3,160.66,0.55,0.29,0.1,2026-06-05 12:37:40.239972
43,1,1,27.6,75.4,160.22,0.55,0.29,0.1,2026-06-05 12:37:45.510083
44,1,1,27.6,75.4,157.36,0.56,0.29,0.1,2026-06-05 12:37:49.224505
45,1,1,27.6,75.4,157.8,0.56,0.29,0.1,2026-06-05 12:37:54.500482
46,1,1,27.6,75.5,147.03,0.56,0.29,0.1,2026-06-05 12:37:59.775079
47,1,1,27.6,75.5,159.34,0.56,0.29,0.1,2026-06-05 12:38:05.040315
48,1,1,27.6,75.5,153.41,0.56,0.29,0.1,2026-06-05 12:38:10.313914
49,1,1,27.5,75.5,159.34,0.56,0.29,0.1,2026-06-05 12:38:15.590076
50,1,1,27.5,75.6,159.78,0.56,0.29,0.1,2026-06-05 12:38:19.304212
51,1,1,27.5,75.7,157.58,0.57,0.29,0.1,2026-06-05 12:38:24.614709
52,1,1,27.5,75.6,154.73,0.57,0.29,0.1,2026-06-05 12:38:29.855662
53,1,1,27.5,75.7,158.46,0.57,0.29,0.1,2026-06-05 12:38:35.129871
54,1,1,27.5,75.7,161.54,0.57,0.29,0.1,2026-06-05 12:38:40.433021
55,1,1,27.5,75.7,156.92,0.57,0.29,0.1,2026-06-05 12:38:44.112948
56,1,1,27.5,75.8,154.07,0.57,0.29,0.1,2026-06-05 12:38:49.394355
57,1,1,27.5,75.8,159.78,0.57,0.29,0.1,2026-06-05 12:38:54.663649
58,1,1,27.5,75.9,162.64,0.58,0.29,0.1,2026-06-05 12:38:59.94257
59,1,1,27.5,75.8,158.46,0.58,0.29,0.1,2026-06-05 12:39:05.206828
60,1,1,27.5,75.8,163.3,0.58,0.29,0.1,2026-06-05 12:39:10.489099
61,1,1,27.5,75.8,159.12,0.58,0.29,0.1,2026-06-05 12:39:14.214029
